company_id,company_name,broad_sector,pe_ratio,pb_ratio,ev_ebitda,fcf_yield_pct,sector_median_pe,pe_vs_sector_median_pct,flag
ABB,Abbott India Ltd,Industrials,75.58,4.48,12.63,0.05,47.16,160.28,Caution
BAJAJFINSV,Bajaj Finserv Ltd,Financials,15.07,6.08,39.72,-4.18,34.24,44.01,Discount
BAJFINANCE,Bajaj Finance Ltd,Financials,69.2,4.11,15.96,-3.23,34.24,202.1,Caution
BANKBARODA,Bank of Baroda,Financials,16.89,4.15,24.7,-1.28,34.24,49.33,Discount
BEL,Bharat Electronics Ltd,Industrials,17.89,9.22,23.14,-0.09,47.16,37.94,Discount
BHEL,"Bharat Heavy Electricals Limited
",Industrials,29.8,11.43,21.59,-0.44,47.16,63.2,Discount
BOSCHLTD,Bosch Ltd,Consumer Discretionary,58.43,6.47,16.07,0.06,38.01,153.74,Caution
BPCL,Bharat Petroleum Corporation Ltd,Energy,68.15,0.72,26.59,5.42,44.92,151.73,Caution
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,16.79,10.36,13.52,-3.97,34.24,49.04,Discount
COALINDIA,Coal India Ltd,Materials,34.27,14.75,25.15,3.0,55.62,61.61,Discount
DMART,Avenue Supermarts Ltd,Consumer Discretionary,72.53,11.71,36.84,0.01,38.01,190.84,Caution
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,11.73,10.19,14.56,0.02,47.06,24.93,Discount
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,15.62,13.61,19.29,0.4,38.01,41.1,Discount
GAIL,GAIL (India) Ltd,Energy,25.84,9.54,33.07,0.28,44.92,57.53,Discount
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,33.59,8.07,23.55,-0.1,50.95,65.93,Discount
GRASIM,Grasim Industries Ltd,Industrials,79.35,5.68,15.23,-7.06,47.16,168.27,Caution
HAL,Hindustan Aeronautics Ltd,Industrials,71.89,3.65,8.76,0.07,47.16,152.45,Caution
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,34.51,11.88,7.52,1.85,50.95,67.73,Discount
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,20.83,12.38,22.57,0.01,34.24,60.84,Discount
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,76.23,7.87,24.64,0.91,38.01,200.58,Caution
INDUSINDBK,IndusInd Bank Ltd,Financials,8.99,3.7,28.79,-0.97,34.24,26.26,Discount
INFY,Infosys Ltd,Information Technology,35.99,8.97,36.7,1.81,63.63,56.56,Discount
IOC,"Indian Oil Corporation
",Energy,28.61,4.24,33.71,2.79,44.92,63.7,Discount
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,60.44,5.74,32.47,0.05,38.01,159.03,Caution
IRFC,Indian Railway Finance Corporation Ltd,Financials,9.81,3.91,16.66,0.3,34.24,28.65,Discount
JSWENERGY,JSW Energy Ltd,Energy,24.79,9.88,35.95,-1.77,44.92,55.19,Discount
LT,Larsen & Toubro Ltd,Industrials,30.8,2.48,16.63,1.82,47.16,65.32,Discount
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,14.22,0.81,29.08,-0.27,38.01,37.42,Discount
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,20.78,8.26,29.97,0.33,38.01,54.68,Discount
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,9.54,2.38,33.39,0.63,38.01,25.1,Discount
NAUKRI,Info Edge (India) Ltd,Communication Services,32.88,8.33,11.87,-0.03,48.33,68.03,Discount
NHPC,"NHPC Ltd
",Energy,71.17,13.74,18.26,0.06,44.92,158.45,Caution
NTPC,NTPC Ltd,Energy,30.8,5.24,37.12,0.95,44.92,68.57,Discount
ONGC,Oil & Natural Gas Corpn Ltd,Energy,18.15,10.36,11.72,10.78,44.92,40.41,Discount
PIDILITIND,Pidilite Industries Ltd,Materials,36.12,12.3,5.36,0.59,55.62,64.94,Discount
PNB,Punjab National Bank,Financials,19.29,10.91,23.64,-1.61,34.24,56.34,Discount
SBILIFE,SBI Life Insurance Company Ltd,Financials,69.98,9.48,31.04,-0.24,34.24,204.38,Caution
SHREECEM,Shree Cement Ltd,Materials,25.87,1.21,26.58,0.06,55.62,46.51,Discount
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,68.53,7.91,28.82,-3.61,34.24,200.15,Caution
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,67.07,0.93,15.35,3.0,38.01,176.48,Caution
TATAPOWER,"Tata Power Company Ltd
",Energy,14.5,3.48,12.02,0.22,44.92,32.28,Discount
TITAN,"Titan Company Ltd
",Consumer Discretionary,10.13,10.51,21.0,0.08,38.01,26.65,Discount
TRENT,Trent Ltd,Consumer Discretionary,8.65,11.82,34.65,0.15,38.01,22.76,Discount
